#separator:Tab
#html:true
#tags column:5
#columns:Id	Front	Back	Source	Tags
acb7adc3c14a	盒模型（必背）	<p>box-sizing</p><ul><li>CSS盒模型定义了盒子的各个部分，margin，border，padding，content</li><li>标准盒模型 <strong>content-box</strong> 定义的height和width其实是content  padding+border决定了盒子的大小</li><li>怪异盒模型 <strong>border-box</strong> 设置的height和width包含了padding和border   设置的宽高就是盒子的宽高</li><li>默认是标准盒模型</li></ul>	CSS.md / 基础概念与核心机制 / 盒模型（必背）	baguwen 前端 八股 CSS 样式 布局 CSS 基础概念与核心机制
0cd606f313b5	文档流（必背）	<p>浏览器在渲染页面时默认的布局方式，指元素按照其在 HTML 中的<strong>自然顺序</strong>依次排列的规则</p><p>##### <strong>1. 文档流的特点</strong></p><p><em><strong>默认布局方式</strong>：除非通过 CSS 显式修改（如 <code>float</code>、<code>position</code>、<code>flex</code>），否则所有元素均处于文档流中。<br></em><strong>排列方向</strong>：</p><ul><li><strong>块级元素</strong>：垂直排列（如 <code>&lt;div&gt;</code>、<code>&lt;p&gt;</code>），独占一行。</li><li><strong>行内元素</strong>：水平排列（如 <code>&lt;span&gt;</code>、<code>&lt;a&gt;</code>），宽度由内容决定。</li></ul><p>*<strong>空间占用</strong>：文档流中的元素会占据其对应位置，后续元素无法重叠。（外边距合并 选大的而不是简单合并）</p><p>##### <strong>2. 脱离文档流的情况</strong></p><p>当元素脱离文档流时，其布局不再影响其他元素的位置，常见方式包括：</p><ol><li>float（高度坍塌）</li></ol><ol><li>absolute（相对于最近的设置了relative的父级元素定位）/fixed(固定)</li></ol>	CSS.md / 基础概念与核心机制 / 文档流（必背）	baguwen 前端 八股 CSS 样式 布局 CSS 基础概念与核心机制
7f720e574be8	样式优先级（必背）	<p>！important &gt; ( 行内| 外链、嵌入） &gt; (id选择器) &gt; （类|伪类|属性）&gt;  (后代|伪元素) &gt; (子选择器|相邻选择器) &gt; &gt; 通配符 &gt; 继承 &gt; 浏览器默认</p><p>解释与使用：</p><pre><code class="language-css">/* 状态伪类 */&#10;a:hover { color: red; }          /* 悬停时变红 */&#10;input:focus { border-color: blue; } /* 输入框聚焦时边框变蓝 */&#10;&#10;/* 结构伪类 */&#10;li:first-child { font-weight: bold; } /* 列表第一项加粗 */&#10;tr:nth-child(odd) { background: #eee; } /* 表格奇数行灰色背景 */&#10;&#10;/* 否定伪类 */&#10;div:not(.hidden) { display: block; } /* 排除 class="hidden" 的 div */&#10;</code></pre><pre><code class="language-css">/* 精确匹配 */&#10;input[type="password"] { width: 200px; } /* 密码输入框 */&#10;&#10;/* 部分匹配 */&#10;a[href^="http"]::after { content: " ↗"; } /* 外部链接添加图标 */&#10;img[src$=".jpg"] { border: 1px solid #ccc; } /* JPG 图片加边框 */&#10;&#10;/* 独立单词匹配 */&#10;div[class~="warning"] { color: orange; } /* 匹配 class="alert warning" */&#10;</code></pre><pre><code class="language-css">div p {&#10;  color: red;  /* 选中 div 内所有层级的 &lt;p&gt; 元素 */&#10;}&#10;</code></pre><pre><code class="language-css">.tooltip::after {&#10;  content: "提示文字";&#10;  display: block;&#10;  background: #333;&#10;  color: white;&#10;}&#10;</code></pre><pre><code class="language-css">ul &gt; li {&#10;  color: red;  /* 仅选中 ul 的直接子级 li */&#10;}&#10;//仅匹配直接子元素，不匹配更深层级的后代。&#10;</code></pre><pre><code class="language-css">严格相邻关系：&#10;仅匹配紧邻的下一个兄弟元素&#10;&lt;h2&gt;标题&lt;/h2&gt;&#10;&lt;p&gt;被选中（紧邻 h2）&lt;/p&gt;&#10;&lt;p&gt;不被选中（非紧邻）&lt;/p&gt;  &lt;!-- 不匹配 --&gt;&#10;&#10;h2 + p {&#10;  margin-top: 0;  /* 选中紧跟在 h2 后的 p 元素 */&#10;}&#10;</code></pre>	CSS.md / 基础概念与核心机制 / 样式优先级（必背）	baguwen 前端 八股 CSS 样式 布局 CSS 基础概念与核心机制
9c06c5dc430f	CSS 选择器优先级计算规则（必背）	<p>SS 优先级是由 <strong>特异性（Specificity）</strong> 决定的。特异性是一个由四个值组成的序列，可以理解为 <code>0,0,0,0</code>。比较时，<strong>从左到右</strong>逐位比较，数字大的优先级高。</p><p>这四位分别代表：</p><ol><li><strong>内联样式</strong> (千位)：直接在 HTML 标签的 <code>style</code>属性中设置的样式，记作 <code>1,0,0,0</code>。本题中不涉及</li><li><strong>ID 选择器</strong> (百位)：每使用一个 <code>#id</code>选择器，百位+1</li><li><strong>类、属性、伪类选择器</strong> (十位)：每使用一个 <code>.class</code>、<code>[type="text"]</code>、<code>:hover</code>等选择器，十位+1</li><li><strong>元素、伪元素选择器</strong> (个位)：每使用一个 <code>div</code>、<code>p</code>、<code>::before</code>等选择器，个位+1</li></ol>	CSS.md / 基础概念与核心机制 / CSS 选择器优先级计算规则（必背）	baguwen 前端 八股 CSS 样式 布局 CSS 基础概念与核心机制
6e712edf2c91	继承	<p><strong>可继承</strong></p><ul><li>字体属性</li><li><code>font-family</code>、<code>font-size</code>、<code>font-weight</code>、<code>font-style</code></li><li><code>color</code>、<code>line-height</code>、<code>text-align</code>、<code>text-indent（文本缩进）</code></li><li><code>letter-spacing(字符间距)</code>、<code>word-spacing(字间隔)</code>、<code>text-transform(控制文本大小写)</code></li><li>列表</li><li><code>list-style-type</code>、<code>list-style-image</code>、<code>list-style-position</code></li><li>其他</li><li><code>visibility(元素可见)</code>、<code>cursor（悬浮光标）</code>、<code>direction（方向）</code>、<code>white-space（换行显示）</code></li></ul><p><strong>不可继承</strong></p><p>*<strong>盒模型相关</strong>：</p><ul><li><code>width</code>、<code>height</code>、<code>margin</code>、<code>padding</code>、<code>border</code></li><li><code>display</code>、<code>box-sizing</code>、<code>overflow</code></li></ul><p>*<strong>定位与布局</strong>：</p><ul><li><code>position</code>、<code>top</code>、<code>left</code>、<code>z-index</code>、<code>float</code></li></ul><p>*<strong>背景与装饰</strong>：</p><ul><li><code>background</code>、<code>background-color</code>、<code>background-image</code></li><li><code>opacity</code>、<code>box-shadow</code>、 text-decoration 、border</li></ul><p>*<strong> 其他</strong>：</p><ul><li><code>vertical-align</code>、<code>table-layout</code>、<code>flex</code>、<code>grid</code> 相关属性</li></ul>	CSS.md / 基础概念与核心机制 / 继承	baguwen 前端 八股 CSS 样式 布局 CSS 基础概念与核心机制
44e30826bf63	不可继承属性实现继承	<p>| <strong>关键字</strong> | <strong>作用</strong> | <strong>示例</strong> |<br>| :--- | :--- | :--- |<br>| <code>inherit</code> | <strong>强制元素继承其父元素该属性的值</strong> | <code>border: inherit;</code> |<br>| <code>initial</code> | 将属性设置为其<strong>初始默认值</strong>，而非继承父元素的值 | <code>width: initial;</code>  /<em> 可能恢复为 auto </em>/ |<br>| <code>unset</code> | 如果属性<strong>默认可继承</strong>，则行为同 <code>inherit</code> ；否则行为同 <code>initial</code> | <code>color: unset;</code>  /<em> 若颜色可继承则继承，否则重置 </em>/ |<br>| <code>revert</code> | 将属性值恢复为<strong>浏览器默认样式表</strong>或<strong>用户自定义样式表</strong>中定义的值 | <code>display: revert;</code>  /<em> 可能恢复为 block 或 inline </em>/ |</p>	CSS.md / 基础概念与核心机制 / 不可继承属性实现继承	baguwen 前端 八股 CSS 样式 布局 CSS 基础概念与核心机制
096af8000a3b	display（布局）	<p>| <strong>属性值</strong> | <strong>作用</strong> |<br>| --- | --- |<br>| none | 不显示，会从文档流中移除 |<br>| block | 块类型。默认宽度为父元素宽度，可设置宽高，换行显示 |<br>| inline | <strong>默认</strong>！！！行内元素类型。默认宽度为内容宽度，<strong>不可设置宽高</strong>，同行显示，可设置内外边距，但只对左右起作用，只能容纳文本或其他行内元素。 |<br>| inline-block | 默认宽度为内容宽度，可设置宽高，同行显示 |<br>| list-item | 显示为列表项（默认 <code>&lt;li&gt;</code> 的行为） |<br>| table | 模拟表格行为（如 <code>display: table-cell</code>） |<br>| inherit | 继承 |<br>| flex | display: flex; /<em> 启用弹性布局 </em>/justify-content: center; /<em> 水平对齐 </em>/align-items: center; /<em> 垂直对齐 </em>/ |<br>| grid | display: grid; grid-template-columns: 1fr 2fr; /<em> 列宽比例 </em>/gap: 10px; /<em> 间距 </em>/ |</p>	CSS.md / 基础概念与核心机制 / display（布局）	baguwen 前端 八股 CSS 样式 布局 CSS 基础概念与核心机制
3dd7246d37eb	css3新特性（了解）	<ol><li>选择器增强</li></ol><p><em><strong>属性选择器</strong>：\ <code>[attr^="val"]</code>（开头匹配）、<code>[attr$="val"]</code>（结尾匹配）、<code>[attr</em>="val"]</code>（包含匹配）。<br>*<strong>伪类/伪元素</strong>：\ <code>:nth-child()</code>、<code>:not()</code>、<code>::selection</code>（文本选中样式）、<code>:target</code>（URL 锚点匹配）。</p><ol><li>盒模型与布局</li></ol><p><em><strong>弹性盒子（Flexbox）</strong>：\ <code>display: flex</code>，实现灵活的一维布局（水平/垂直对齐、动态分配空间）。<br></em><strong>网格布局（Grid）</strong>：\ <code>display: grid</code>，二维布局系统，支持行列精确控制。<br>*<strong>盒模型扩展</strong>：\ <code>box-sizing: border-box</code>（边框和内边距计入宽度）。</p><ol><li>视觉效果</li></ol><p><em><strong>圆角与阴影</strong>：\ <code>border-radius</code>（圆角）、<code>box-shadow</code>（盒子阴影）、<code>text-shadow</code>（文本阴影）。<br></em><strong>渐变背景</strong>：\ <code>linear-gradient()</code>（线性渐变）、<code>radial-gradient()</code>（径向渐变）。<br>*<strong>透明度</strong>：\ <code>opacity</code>、<code>rgba()</code>/<code>hsla()</code>（带透明度的颜色）。</p><ol><li>动画与过渡</li></ol><p><em><strong>过渡（Transition）</strong>：\ <code>transition: property duration timing-function</code>（如悬停效果）。<br></em><strong>动画（Animation）</strong>：\ <code>@keyframes</code> 定义动画序列，<code>animation</code> 控制播放（如旋转、淡入淡出）。</p><ol><li>响应式设计</li></ol><ul><li>媒体查询 <code>@media (max-width: 768px)</code>，适配不同屏幕尺寸。</li></ul><ol><li>其他</li></ol><p><em><strong>自定义字体</strong>：\ <code>@font-face</code> 引入外部字体。<br></em><strong>变形（Transform）</strong>：\ <code>transform: rotate()/scale()/translate()</code>（2D/3D 变换）。</p>	CSS.md / 基础概念与核心机制 / css3新特性（了解）	baguwen 前端 八股 CSS 样式 布局 CSS 基础概念与核心机制
0773fec7035c	css样式文件类型（必背）	<p>主要有三种：<strong>内联样式</strong>、<strong>内部样式表</strong>和<strong>外部样式表</strong>。它们各有特点，适用于不同的场景。下面这个表格汇总了它们的核心区别，帮你快速了解全貌。</p><p>| <strong>类型</strong> | <strong>写法/引入方式</strong> | <strong>作用范围</strong> | <strong>主要优点</strong> | <strong>主要缺点</strong> | <strong>优先级 (由高到低)</strong> |<br>| :--- | :--- | :--- | :--- | :--- | :--- |<br>| <strong>内联样式</strong> | 在HTML标签的<code>style</code>属性中直接编写 | <strong>单个标签</strong> | 优先级最高，调试方便 | 难以维护，代码冗余，违背结构与样式分离原则 | <strong>最高</strong> |<br>| <strong>内部样式表</strong> | 在HTML文档<code>&lt;head&gt;</code>内的<code>&lt;style&gt;</code>标签中编写 | <strong>当前HTML页面</strong> | 比内联样式更易于维护，页面内可复用 | 不能在多个HTML页面间复用 | <strong>居中</strong> |<br>| <strong>外部样式表</strong> | 通过<code>&lt;link&gt;</code>标签引入独立的<code>.css</code>文件 | <strong>所有引入的页面</strong> | 最佳可维护性和复用性，利于团队协作，减少代码冗余 | 页面加载初期需要额外的HTTP请求（但可通过缓存优化） | <strong>最低</strong> |</p>	CSS.md / 基础概念与核心机制 / css样式文件类型（必背）	baguwen 前端 八股 CSS 样式 布局 CSS 基础概念与核心机制
938736952374	type类型（了解）	<ul><li>button 定义可点击的按钮（大多与 JavaScript 使用来启动脚本）</li><li>checkbox 定义复选框</li><li>color 定义拾色器</li><li>date 定义日期字段（带有 calendar 控件）</li><li>datetime 定义日期字段（带有 calendar 和 time 控件）</li><li>datetime-local 定义日期字段（带有 calendar 和 time 控件）</li><li>month 定义日期字段的月（带有 calendar 控件） week 定义日期字段的周（带有 calendar 控件）</li><li>time 定义日期字段的时、分、秒（带有 time 控件）</li><li>email 定义用于 e-mail 地址的文本字段 file 定义输入字段和 "浏览..." 按钮，供文件上传</li><li>hidden 定义隐藏输入字段</li><li>image 定义图像作为提交按钮</li><li>number 定义带有</li><li>spinner 控件的数字字段</li><li>password 定义密码字段。字段中的字符会被遮蔽</li><li>radio 定义单选按钮。</li><li>range 定义带有 slider 控件的数字字段</li><li>reset 定义重置按钮。重置按钮会将所有表单字段重置为初始值</li><li>search 定义用于搜索的文本字段</li><li>submit 定义提交按钮。提交按钮向服务器发送数据</li><li>tel 定义用于电话号码的文本字段</li><li>text 默认。定义单行输入字段，用户可在其中输入文本，默认是 20 个字符</li><li>url 定义用于 URL 的文本字段。</li></ul>	CSS.md / 基础概念与核心机制 / type类型（了解）	baguwen 前端 八股 CSS 样式 布局 CSS 基础概念与核心机制
